University ;Faculty ;Qualifications;Year;Modules;Module Code;SAQA credits;Description 
null;null;null;null;PLANT STUDIES 1B;BOT153S;null;null
null;null;null;null;PRINCIPLES OF CONSERVATION;NCD150S;null;null
null;null;null;2;BIODIVERSITY MANAGEMENT 2A;REM260S;null;null
null;null;null;null;CONSERVATION ECOLOGY 2;NCE260S;null;null
null;null;null;null;PLANT STUDIES 2;BOT260S;null;null
null;null;null;null;SOIL CONSERVATION;SSC250S;null;null
null;null;null;null;ANIMAL STUDIES 2;ANS260S;null;null
null;null;null;null;BIODIVERSITY MANAGEMENT 2B;REM261S;null;null
null;null;null;null;CONSERVATION EXTENSION 2;CTE260S;null;null
null;null;null;null;CONSERVATION PRACTICE 2A;CSP250S;null;null
null;null;null;null;CONSERVATION PRACTICE 2B;CSP251S;null;null
null;null;null;null;SOIL CONSERVATION;SSC250S;null;null
null;null;null;3;CONSERVATION ADMINISTRATION 3;NCA360S;null;null
null;null;null;null;CONSERVATION COMPLIANCE;CCP360S;null;null
null;null;null;null;CONSERVATION EXTENSION 3;CTE360S;null;null
null;null;null;null;CONSERVATION PRACTICE 3;BEW360S;null;null
null;null;null;null;CONSERVATION RESEARCH 3;CVR360S;null;null
null;null;Diploma in Marine Science;1;COMMUNICATION SKILLS 1;KOT150S;null;null
null;null;null;null;COMPUTER SKILLS 1;KOR151S;null;null
null;null;null;null;BIOMATHEMATICS;BMA150S;null;null
null;null;null;null;COMMUNICATION SKILLS 1;KOT150S;null;null
null;null;null;null;COMPUTER SKILLS 1;KOR151S;null;null
null;null;null;null;ECOLOGY 1;ECL150S;null;null
null;null;null;null;ECOLOGY 2;ECL160S;null;null
null;null;null;null;MARINE BIOLOGY 1;MAB150S;null;null
null;null;null;null;MARINE CHEMISTRY 1;MAC150S;null;null
null;null;null;null;MARINE PHYSICS 1;MPH150S;null;null
null;null;null;null;MARINE SCIENCE 1;MAS150S;null;null
null;null;null;null;BIOMATHEMATICS;BMA150S;null;null
null;null;null;null;BIOSTATISTICS;BST160S;null;null
null;null;null;null;COMMUNICATION SKILLS 1;KOT150S;null;null
null;null;null;null;COMPUTER SKILLS 1;KOR151S;null;null
null;null;null;null;ECOLOGY 1;ECL150S;null;null
null;null;null;null;ECOLOGY 2;ECL160S;null;null
null;null;null;null;MARINE BIOLOGY 1;MAB150S;null;null
null;null;null;null;MARINE CHEMISTRY 1;MAC150S;null;null
null;null;null;null;MARINE PHYSICS 1;MPH150S;null;null
null;null;null;null;MARINE SCIENCE 1;MAS150S;null;null
null;null;null;2;COASTAL MANAGEMENT 1;CSM250S;null;null
null;null;null;null;COASTAL MANAGEMENT 2;CSM260S;null;null
null;null;null;null;COMPUTER SKILLS 2;KOR260S;null;null
null;null;null;null;MARINE AQUACULTURE 1;MAQ250S;null;null
null;null;null;null;MARINE BIOLOGY 2;MAB260S;null;null
null;null;null;null;MARINE LAW 1;MAL260S;null;null
null;null;null;null;MARINE POLLUTION 1;MAP260S;null;null
null;null;null;null;MARINE RESOURCE MANAGEMENT 1;MRS260S;null;null
null;null;null;null;MARINE SCIENCE 2;MAS260S;null;null
null;null;null;null;MARINE TECHNOLOGY;MAT260S;null;null
null;null;null;3;BUSINESS PRINCIPLES;BUS360S;null;null
null;null;null;null;ECOLOGY 3;ECL360S;null;null
null;null;null;null;MARINE BIOLOGY 3;MAB360S;null;null
null;null;null;null;MARINE SCIENCE 3;MAS360S;null;null
null;null;null;null;MARINE SCIENCE INDUSTRY PRACTICE 1;MSI360S;null;null
null;null;null;null;COASTAL MANAGEMENT 3;CSM360S;null;null
null;null;null;null;MARINE AQUACULTURE 2;MAQ360S;null;null
null;null;null;null;MARINE LAW 2;MAL360S;null;null
null;null;Bachelor of Environmental Health;1;ANATOMY AND PHYSIOLOGY;ANP150S;null;null
null;null;null;null;CHEMISTRY;CHM153S;null;null
null;null;null;null;MATHEMATICS;MTH157S;null;null
null;null;null;null;MICROBIOLOGY;MIB151S;null;null
null;null;null;null;PHYSICS;PHS151S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 1;PFP150S;null;null
null;null;null;null;SOCIOLOGY;SOC150S;null;null
null;null;null;null;SUSTAINABLE DEVELOPMENT;SDV150S;null;null
null;null;null;2;ADMINISTRATION AND MANAGEMENT PRACTICE 2;AMP260S;null;null
null;null;null;null;COMMUNITY DEVELOPMENT;CMD261S;null;null
null;null;null;null;ENVIRONMENTAL POLLUTION 2: ASSESSMENT;EPA260S;null;null
null;null;null;null;EPIDEMIOLOGY 2: INFECTIOUS DISEASE;EPI260S;null;null
null;null;null;null;FOOD AND MEAT HYGIENE 2;FMH260S;null;null
null;null;null;null;OCCUPATIONAL HEALTH AND SAFETY 2: ASSESSMENT;OHS260S;null;null
null;null;null;null;PLANNING FOR THE BUILT;PBE260S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 2;PFP260S;null;null
null;null;null;3;ADMINISTRATION AND MANAGEMENT PRACTICE 3;AMP370S;null;null
null;null;null;null;ENVIRONMENTAL POLLUTION 3: CONTROL;EPA370S;null;null
null;null;null;null;ENVIRONMENTAL TOXICOLOGY;ETX370S;null;null
null;null;null;null;EPIDEMIOLOGY 3: ENVIRONMENT;EPI370S;null;null
null;null;null;null;FOOD PROCESSING AND SAFETY 3;FPS370S;null;null
null;null;null;null;OCCUPATIONAL HEALTH AND SAFETY 3: CONTROL;OHS370S;null;null
null;null;null;null;PROFESSIONAL PRACTICE 3;PFP370S;null;null
null;null;null;null;RESEARCH METHODOLOGY;RMY370S;null;null
null;null;null;4;ADMINISTRATION AND MANAGEMENT PRACTICE 4;AMP480S;null;null
null;null;null;null;DISASTER MANAGEMENT;DSM480S;null;null
null;null;null;null;ENVIRONMTL POLLUTION 4: MNGMENT & REMEDIATION;EPA480S;null;null
null;null;null;null;EPIDEMIOLOGY 4: APPLIED;EPI480S;null;null
null;null;null;null;FOOD QUALITY AND SAFETY MANAGEMENT 4;FQS480S;null;null
null;null;null;null;OCCUP HEALTH & SAFETY 4: MANAGEMENT SYSTEMS;OHS480S;null;null
null;null;null;null;PROFESSIONAL PRACTICE & RESEARCH PROJECT 4;PFP480S;null;null
null;null;Diploma in Environmental Management;1;COMMUNICATION SKILLS;COM150S;null;null
null;null;null;null;CALCULATIONS AND STATISTICS;CST150S;null;null
null;null;null;null;COMMUNICATION SKILLS;COM150S;null;null
null;null;null;null;COMPUTER SKILLS;COS150S;null;null
null;null;null;null;ENVIRONMENTAL GEOLOGY 1A;EGE150S;null;null
null;null;null;null;ENVIRONMENTAL MANAGEMENT 1A;EVM150S;null;null
null;null;null;null;ENVIRONMENTAL RESOURCES 1A;EVR150S;null;null
null;null;null;null;CHEMISTRY 1;CHM150S;null;null
null;null;null;null;ENVIRONMENTAL GEOLOGY 1B;EGE151S;null;null
null;null;null;null;ENVIRONMENTAL MANAGEMENT 1B;EVM151S;null;null
null;null;null;null;ENVIRONMENTAL MICROBIOLOGY 1;MBY150S;null;null
null;null;null;null;ENVIRONMENTAL RESOURCES 1B;EVR151S;null;null
null;null;null;null;GEOTECHNOLOGY 1;GTY150S;null;null
null;null;null;2;ENVIRONMENTAL CHEMISTRY 2;ENC260S;null;null
null;null;null;null;ENVIRONMENTAL GEOLOGY 2A;EVG260S;null;null
null;null;null;null;ENVIRONMENTAL LEGISLATION 2;EVL260S;null;null
null;null;null;null;ENVIRONMENTAL MANAGEMENT 2A;EVM260S;null;null
null;null;null;null;ENVIRONMENTAL RESOURCES 2A;ERS260S;null;null
null;null;null;null;GEOTECHNOLOGY 2;GTY260S;null;null
null;null;null;null;ENVIRONMENTAL BIOTECHNOLOGY 2;EBT260S;null;null
null;null;null;null;ENVIRONMENTAL GEOLOGY 2B;EVG261S;null;null
null;null;null;null;ENVIRONMENTAL HEALTH AND SAFETY;EHS250S;null;null
null;null;null;null;ENVIRONMENTAL HYDROLOGY 2;EGH250S;null;null
null;null;null;null;ENVIRONMENTAL MANAGEMENT 2B;EVM261S;null;null
null;null;null;null;ENVIRONMENTAL RESOURCES 2B;ERS261S;null;null
null;null;null;3;ENVIRONMENTAL LEGISLATION 3;EVL360S;null;null
null;null;null;null;ENVIRONMENTAL MANAGEMENT 3;EVM360S;null;null
null;null;null;null;ENVIRONMENTAL RESOURCES 3;ERS360S;null;null
null;null;null;null;INDUSTRIAL PROCESSES 3;IDP360S;null;null
null;null;null;null;PROFESSIONAL PRACTICE: WORK PREP SKILLS;PFP350S;null;null
